Record ID,Intake Date,Intake Channel,311 SR Number,Business Category,Complaint Code,Business Unique ID,Business Name,Result Date,Result,Referred To,Contract Cancelled Amount,Refund Amount,Address Type,Building Nbr,Street1,Street2,Street3,Unit Type,Apt/Suite,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Census Block (2010),Census Tract (2010),Latitude,Longitude,Standardized_Business_Name
023548-2023-CMPL,11/20/23,311,311-16654550,Specialized Vending License - MFV,Cashless Business,BA-1678629-2023,NYC Soft Ice Cream Truck owned by Eddie Cumart,12/24/23,Complaint Review Complete,,,,Complete Address,30,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3344163,3000270040,BK38,1010,21,40.70353111,-73.98956959,NYC Soft Ice Cream Truck owned by Eddie Cumart
023549-2023-CMPL,11/20/23,311,311-16654564,Specialized Vending License - MFV,Cashless Business,BA-1669507-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,12/24/23,Complaint Review Complete,,,,Complete Address,90,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3388734,3000457501,BK38,1008,21,40.70176349,-73.98968167,NYC Soft Ice Cream Truck owned by Eddie Cumart
022862-2023-CMPL,11/13/23,311,311-16575635,Specialized Vending License - MFV,Cashless Business,BA-1669505-2023,NYC Soft Ice Cream trucks owned by Eddie Cumart,12/24/23,Complaint Review Complete,,,,Complete Address,2,WATER ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3000078,3000350012,BK38,1005,21,40.70310051,-73.99418974,NYC Soft Ice Cream Truck owned by Eddie Cumart
022863-2023-CMPL,11/13/23,311,311-16575649,Specialized Vending License - MFV,Cashless Business,BA-1677841-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,12/24/23,Complaint Review Complete,,,,Cross Street (Intersection),,MAIN STREET,PLYMOUTH STREET,,,,,NY,11201,Brooklyn,302,33,,,,,21,40.70390724,-73.99066235,NYC Soft Ice Cream Truck owned by Eddie Cumart
022865-2023-CMPL,11/13/23,311,311-16575658,Specialized Vending License - MFV,Cashless Business,BA-1671172-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,12/24/23,Complaint Review Complete,,,,Complete Address,30,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3344163,3000270040,BK38,1010,21,40.70353111,-73.98956959,NYC Soft Ice Cream Truck owned by Eddie Cumart
022866-2023-CMPL,11/13/23,311,311-16575667,Specialized Vending License - MFV,Cashless Business,BA-1669507-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,12/24/23,Complaint Review Complete,,,,Complete Address,90,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3388734,3000457501,BK38,1008,21,40.70176349,-73.98968167,NYC Soft Ice Cream Truck owned by Eddie Cumart
022953-2023-CMPL,11/13/23,311,311-16585140,Specialized Vending License - MFV,Price Not Posted,BA-1671172-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,3/5/24,Duplicate Complaint - DUP,,,,Complete Address,30,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3344163,3000270040,BK38,1010,21,40.70353111,-73.98956959,NYC Soft Ice Cream Truck owned by Eddie Cumart
022954-2023-CMPL,11/13/23,311,311-16585158,Specialized Vending License - MFV,Price Not Posted,BA-1669507-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,12/24/23,Complaint Review Complete,,,,Complete Address,90,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3388734,3000457501,BK38,1008,21,40.70176349,-73.98968167,NYC Soft Ice Cream Truck owned by Eddie Cumart
022702-2023-CMPL,11/10/23,311,311-16543341,Specialized Vending License - MFV,Cashless Business,BA-1671172-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,12/24/23,Complaint Review Complete,,,,Complete Address,30,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3344163,3000270040,BK38,1010,21,40.70353111,-73.98956959,NYC Soft Ice Cream Truck owned by Eddie Cumart
022703-2023-CMPL,11/10/23,311,311-16543345,Specialized Vending License - MFV,Cashless Business,BA-1669507-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,12/24/23,Complaint Review Complete,,,,Complete Address,90,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3388734,3000457501,BK38,1008,21,40.70176349,-73.98968167,NYC Soft Ice Cream Truck owned by Eddie Cumart
022704-2023-CMPL,11/10/23,311,311-16543354,Specialized Vending License - MFV,Cashless Business,BA-1677697-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,6/20/24,Complaint Review Complete,,,,Cross Street (Intersection),,MAIN STREET,PLYMOUTH STREET,,,,,NY,11201,Brooklyn,302,33,,,,,21,40.70390724,-73.99066235,NYC Soft Ice Cream Truck owned by Eddie Cumart
022622-2023-CMPL,11/9/23,311,311-16530830,Specialized Vending License - MFV,Cashless Business,BA-1671172-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,12/12/23,Complaint Review Complete,,,,Complete Address,30,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3344163,3000270040,BK38,1010,21,40.70353111,-73.98956959,NYC Soft Ice Cream Truck owned by Eddie Cumart
022623-2023-CMPL,11/9/23,311,311-16530840,Specialized Vending License - MFV,Cashless Business,BA-1677594-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,3/5/24,Duplicate Complaint - DUP,,,,Cross Street (Intersection),,MAIN STREET,PLYMOUTH STREET,,,,,NY,11201,Brooklyn,302,33,,,,,21,40.70390724,-73.99066235,NYC Soft Ice Cream Truck owned by Eddie Cumart
022624-2023-CMPL,11/9/23,311,311-16530853,Specialized Vending License - MFV,Cashless Business,BA-1669507-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,12/12/23,Complaint Review Complete,,,,Complete Address,90,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3388734,3000457501,BK38,1008,21,40.70176349,-73.98968167,NYC Soft Ice Cream Truck owned by Eddie Cumart
022547-2023-CMPL,11/8/23,311,311-16518194,Specialized Vending License - MFV,Cashless Business,BA-1677475-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,12/12/23,Complaint Review Complete,,,,Cross Street (Intersection),,MAIN STREET,PLYMOUTH STREET,,,,,NY,11201,Brooklyn,302,33,,,,,21,40.70390724,-73.99066235,NYC Soft Ice Cream Truck owned by Eddie Cumart
022548-2023-CMPL,11/8/23,311,311-16518199,Specialized Vending License - MFV,Cashless Business,BA-1671172-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,3/5/24,Duplicate Complaint - DUP,,,,Complete Address,30,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3344163,3000270040,BK38,1010,21,40.70353111,-73.98956959,NYC Soft Ice Cream Truck owned by Eddie Cumart
